"filename", "language", "JSON", "Markdown", "Rust", "YAML", "XML", "TypeScript", "Docker", "HTML", "MS SQL", "Ignore", "Properties", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"/home/tbn/Desktop/pessoa/backend/src/auth.rs", "Rust", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 44, 398
"/home/tbn/Desktop/pessoa/backend/src/error.rs", "Rust", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 12, 165
"/home/tbn/Desktop/pessoa/backend/src/gemini_api.rs", "Rust", 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 39, 362
"/home/tbn/Desktop/pessoa/backend/src/handlers/mod.rs", "Rust", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/home/tbn/Desktop/pessoa/backend/src/handlers/script_handlers.rs", "Rust", 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 44, 444
"/home/tbn/Desktop/pessoa/backend/src/lib.rs", "Rust", 0, 0, 486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 77, 781
"/home/tbn/Desktop/pessoa/backend/src/lib_test.rs", "Rust", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/home/tbn/Desktop/pessoa/backend/src/main.rs", "Rust", 0, 0, 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 61, 604
"/home/tbn/Desktop/pessoa/backend/src/models/block.rs", "Rust", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 24
"/home/tbn/Desktop/pessoa/backend/src/models/edit.rs", "Rust", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 22
"/home/tbn/Desktop/pessoa/backend/src/models/mod.rs", "Rust", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 12
"/home/tbn/Desktop/pessoa/backend/src/models/script.rs", "Rust", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 25
"/home/tbn/Desktop/pessoa/backend/src/models/script_layout.rs", "Rust", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 50
"/home/tbn/Desktop/pessoa/backend/src/models/script_share.rs", "Rust", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 50
"/home/tbn/Desktop/pessoa/backend/src/models/snapshot_meta.rs", "Rust", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/tbn/Desktop/pessoa/backend/src/models/user.rs", "Rust", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 24
"/home/tbn/Desktop/pessoa/backend/src/models/yjs_update.rs", "Rust", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/tbn/Desktop/pessoa/backend/src/persistence_event.rs", "Rust", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"/home/tbn/Desktop/pessoa/backend/src/script.rs", "Rust", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 29
"/home/tbn/Desktop/pessoa/backend/src/snapshotting_service.rs", "Rust", 0, 0, 570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 63, 660
"/home/tbn/Desktop/pessoa/backend/src/test_yjs.rs", "Rust", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 39
"/home/tbn/Desktop/pessoa/backend/src/tests/auth.rs", "Rust", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 151
"/home/tbn/Desktop/pessoa/backend/src/tests/block.rs", "Rust", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 101
"/home/tbn/Desktop/pessoa/backend/src/tests/common.rs", "Rust", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/home/tbn/Desktop/pessoa/backend/src/tests/scripts.rs", "Rust", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 97
