"filename", "language", "TypeScript", "HTML", "JSON", "Groovy", "Batch", "CSS", "MS SQL", "TypeScript JSX", "Markdown", "XML", "Properties", "Java", "Ignore", "Rust", "JSON with Comments", "Python", "comment", "blank", "total"
"/home/admins/projects/pessoa/backend/src/bin/test_yjs_memory.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -58, 0, 0, -5, -12, -75
"/home/admins/projects/pessoa/backend/src/core/lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, -12, -8, -57
"/home/admins/projects/pessoa/backend/src/core/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, -15, -2, -23
"/home/admins/projects/pessoa/backend/src/core/server.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -213, 0, 0, -29, -33, -275
"/home/admins/projects/pessoa/backend/src/core/service_manager.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -246, 0, 0, -50, -47, -343
"/home/admins/projects/pessoa/backend/src/domain/collaboration_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -11, -6, -34
"/home/admins/projects/pessoa/backend/src/domain/content_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -9, -5, -27
"/home/admins/projects/pessoa/backend/src/domain/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -5, -2, -16
"/home/admins/projects/pessoa/backend/src/domain/script_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -287, 0, 0, -63, -75, -425
"/home/admins/projects/pessoa/backend/src/domain/snapshot/content_extractor_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -457, 0, 0, -31, -57, -545
"/home/admins/projects/pessoa/backend/src/domain/snapshot/html_parser_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -198, 0, 0, -29, -41, -268
"/home/admins/projects/pessoa/backend/src/domain/snapshot/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -4, -2, -14
"/home/admins/projects/pessoa/backend/src/domain/snapshot/snapshot_coordinator_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -280, 0, 0, -23, -55, -358
